Date,eth_usd,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Percent_B
03/06/2023,ETH/USD,1907.420776,1908.822266,1885.485474,1892.412476,1892.412476,3472274607,1844.08277,1860.627396,55.26525825,10.84518789,1.691196105,1919.944649,1768.220891,151.7237577,0.818537496
04/06/2023,ETH/USD,1892.398193,1912.205688,1885.651855,1890.51355,1890.51355,3747042696,1847.730951,1863.473696,54.9427125,11.72524668,3.698006219,1925.139948,1770.321954,154.8179948,0.776341254
05/06/2023,ETH/USD,1890.417603,1890.640503,1780.211548,1811.828369,1811.828369,9246593033,1847.116296,1858.555093,43.59008333,6.004249874,4.15925495,1925.455042,1768.77755,156.6774922,0.274773474
06/06/2023,ETH/USD,1810.581421,1896.222656,1801.405273,1884.494873,1884.494873,8704411776,1850.248059,1861.025549,53.20621744,7.250321067,4.777468174,1929.302338,1771.19378,158.1085581,0.716603164
07/06/2023,ETH/USD,1884.372925,1893.809082,1822.303101,1832.395996,1832.395996,7919894455,1851.781433,1858.298925,47.01771771,3.987927161,4.619559971,1928.156063,1775.406803,152.74926,0.373089814
08/06/2023,ETH/USD,1832.51355,1861.136108,1830.165039,1846.30188,1846.30188,4536041931,1853.467053,1857.156349,48.73177827,2.495775347,4.194803046,1927.767269,1779.166837,148.6004316,0.451782284
09/06/2023,ETH/USD,1846.077881,1854.824951,1828.544556,1840.22522,1840.22522,4610831509,1854.454413,1855.54386,48.00098144,0.813520833,3.518546604,1927.488902,1781.419924,146.0689785,0.402585797
10/06/2023,ETH/USD,1840.391968,1844.785645,1721.443115,1752.384766,1752.384766,10788500406,1851.847083,1845.719185,38.91595164,-7.520971445,1.310642994,1934.8653,1768.828865,166.0364359,-0.099039099
11/06/2023,ETH/USD,1752.527588,1776.847168,1741.110474,1753.415283,1753.415283,4559112981,1848.641107,1836.928337,39.06166934,-13.88292871,-1.728071346,1941.124665,1756.157549,184.9671164,-0.014825693
12/06/2023,ETH/USD,1753.075439,1757.65979,1722.906372,1742.528687,1742.528687,6031384958,1843.048511,1827.937894,38.02955653,-19.5776046,-5.297977997,1946.36105,1739.735971,206.6250785,0.013515857
13/06/2023,ETH/USD,1742.390137,1761.955444,1727.749878,1739.037598,1739.037598,6214125203,1839.995392,1819.471199,37.68567714,-24.09463007,-9.057308412,1951.489487,1728.501296,222.9881908,0.04725049
14/06/2023,ETH/USD,1739.250122,1749.163208,1637.187744,1650.519287,1650.519287,7462905534,1832.223669,1803.380541,30.22321085,-34.42031719,-14.12991017,1970.563131,1693.884208,276.678923,-0.156733734
15/06/2023,ETH/USD,1650.498169,1676.406616,1624.138306,1665.519775,1665.519775,7328564880,1824.065173,1790.250944,32.65685143,-40.92136853,-19.48820184,1980.356895,1667.773452,312.5834432,-0.007209839
16/06/2023,ETH/USD,1665.410645,1727.289551,1653.170898,1716.668823,1716.668823,6281023479,1818.3427,1783.243123,40.30256417,-41.46817851,-23.88419717,1981.416185,1655.269216,326.1469691,0.188257483
17/06/2023,ETH/USD,1716.671753,1766.763184,1714.150879,1727.204102,1727.204102,4875187477,1809.157196,1777.906073,41.76902928,-40.58359799,-27.22407734,1971.030048,1647.284344,323.7457046,0.24685967
18/06/2023,ETH/USD,1727.193726,1746.509155,1718.11145,1720.577515,1720.577515,3820038842,1800.532166,1772.446211,41.08538221,-39.95667605,-29.77059708,1961.981796,1639.082535,322.8992613,0.252385154
19/06/2023,ETH/USD,1720.505371,1745.134644,1705.813477,1737.659424,1737.659424,5210480121,1792.363806,1769.133183,43.64593658,-37.64749173,-31.34597601,1949.11158,1635.616033,313.4955467,0.325501884
20/06/2023,ETH/USD,1736.879761,1793.313965,1715.342529,1792.119995,1792.119995,7171072578,1788.263281,1771.322404,50.96341754,-31.06483745,-31.2897483,1940.465321,1636.061242,304.4040795,0.512669718
21/06/2023,ETH/USD,1791.994995,1898.668945,1788.489258,1891.007202,1891.007202,11731457711,1789.703571,1782.720956,60.89304522,-17.66503383,-28.5648054,1945.18687,1634.220272,310.966598,0.825770138
22/06/2023,ETH/USD,1889.794434,1932.065552,1867.876587,1872.942993,1872.942993,8477657143,1787.987891,1791.313531,58.56023659,-8.406320781,-24.53310848,1938.935894,1637.039887,301.8960071,0.781405188
23/06/2023,ETH/USD,1872.540771,1932.531616,1865.192017,1892.862061,1892.862061,8290615074,1788.01037,1800.984819,60.36342964,0.532440639,-19.51999866,1939.020692,1637.000048,302.0206435,0.847167298
24/06/2023,ETH/USD,1893.771973,1905.227417,1867.811523,1876.059692,1876.059692,5026191704,1787.287677,1808.134807,58.06808125,6.189316192,-14.37813569,1936.455986,1638.119368,298.3366179,0.797556552
25/06/2023,ETH/USD,1875.849121,1929.079102,1870.850098,1900.506104,1900.506104,6937581709,1791.721564,1816.932074,60.42592374,12.50094874,-9.002318801,1948.615733,1634.827395,313.7883381,0.846681271
26/06/2023,ETH/USD,1900.050293,1905.360474,1840.215088,1859.432861,1859.432861,8619702292,1790.468463,1820.979768,54.84582148,14.02700109,-4.396454823,1944.757432,1636.179495,308.5779372,0.723491021
27/06/2023,ETH/USD,1859.346191,1911.311157,1856.838379,1889.703369,1889.703369,7686042202,1793.333832,1827.524873,57.92932034,17.47751565,-0.021660729,1952.676777,1633.990887,318.6858904,0.802396624
28/06/2023,ETH/USD,1889.906494,1890.208984,1822.102783,1827.971191,1827.971191,7135265016,1792.417297,1827.567379,50.37436342,15.05723207,2.994117831,1950.738618,1634.095977,316.6426412,0.612283974
29/06/2023,ETH/USD,1828.059326,1876.530273,1828.059326,1852.227295,1852.227295,5677228612,1793.017401,1829.915943,52.9697665,14.92436594,5.380167452,1952.147938,1633.886864,318.2610735,0.686041897
30/06/2023,ETH/USD,1852.008423,1945.274292,1831.281006,1933.188965,1933.188965,12895131248,1802.057611,1839.751468,60.41203028,21.10867108,8.525868179,1971.158283,1632.956939,338.2013447,0.887731616
01/07/2023,ETH/USD,1933.323853,1942.701538,1910.848633,1924.565918,1924.565918,5136809625,1810.615143,1847.829035,59.33505619,25.02549137,11.82579282,1986.201457,1635.028828,351.1726289,0.824486494
02/07/2023,ETH/USD,1924.44812,1958.160767,1895.906982,1937.438354,1937.438354,6343966490,1820.360626,1856.363256,60.46801759,28.83589545,15.22781334,2001.303513,1639.417739,361.8857739,0.823521223
03/07/2023,ETH/USD,1937.883789,1974.775024,1934.688843,1955.38916,1955.38916,7858509087,1831.178204,1865.794294,62.05564988,32.92461369,18.76717341,2017.178479,1645.177929,372.0005503,0.833899925
04/07/2023,ETH/USD,1955.52417,1966.365356,1932.611328,1936.633545,1936.633545,5683423776,1845.483917,1872.54089,59.37265495,34.2566417,21.86506707,2017.164218,1673.803617,343.3606009,0.765463269
05/07/2023,ETH/USD,1936.796753,1942.432495,1897.124756,1910.588013,1910.588013,6034088075,1857.737329,1876.164425,55.76685769,32.83215804,24.05848527,2010.196607,1705.278051,304.9185552,0.673327214
06/07/2023,ETH/USD,1910.417114,1956.012329,1847.850708,1848.636475,1848.636475,8905008384,1864.335712,1873.542716,48.25928931,26.39995091,24.52677839,2002.560808,1726.110616,276.450192,0.443211336
07/07/2023,ETH/USD,1847.512573,1876.963257,1832.025391,1870.602539,1870.602539,6468885150,1871.505634,1873.262699,50.78899612,22.81189689,24.18380209,1994.580347,1748.430921,246.1494259,0.496331113
08/07/2023,ETH/USD,1871.002075,1872.501587,1844.641724,1865.539551,1865.539551,4299007854,1878.753735,1872.527161,50.18000931,19.33689371,23.21442042,1980.677749,1776.829722,203.8480264,0.435176294
09/07/2023,ETH/USD,1865.594971,1878.668945,1857.748291,1863.009766,1863.009766,4392863807,1885.021252,1871.620742,49.8583195,16.19214319,21.80996497,1964.390207,1805.652298,158.7379092,0.361334404
